0; 450_950_0.71_0.29999998_139;838,39886;;;;;;;;;;;;;;
1; 450_950_0.71_0.29999998_139;912,60815;;;;;;;;;;;;;;
2; 450_950_0.71_0.29999998_139;839,89307;;;;;;;;;;;;;;
3; 450_950_0.71_0.29999998_139;855,3019;;;;;;;;;;;;;;
4; 450_950_0.71_0.29999998_139;845,7792;;;;;;;;;;;;;;
5; 450_950_0.71_0.29999998_139;818,8179;;;;;;;;;;;;;;
6; 450_950_0.71_0.29999998_139;844,7749;;;;;;;;;;;;;;
7; 450_950_0.71_0.29999998_139;861,0871;;;;;;;;;;;;;;
8; 450_950_0.71_0.29999998_139;889,8548;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.29999998_139;852,116;;818,8179;912,60815;855,863188;25,6400153;;;;;;;;;
0; 450_950_0.71_0.30999997_139;808,0328;;;;;;;;;;;;;;
1; 450_950_0.71_0.30999997_139;899,7324;;;;;;;;;;;;;;
2; 450_950_0.71_0.30999997_139;833,5646;;;;;;;;;;;;;;
3; 450_950_0.71_0.30999997_139;861,82855;;;;;;;;;;;;;;
4; 450_950_0.71_0.30999997_139;857,06854;;;;;;;;;;;;;;
5; 450_950_0.71_0.30999997_139;890,8359;;;;;;;;;;;;;;
6; 450_950_0.71_0.30999997_139;839,053;;;;;;;;;;;;;;
7; 450_950_0.71_0.30999997_139;802,6007;;;;;;;;;;;;;;
8; 450_950_0.71_0.30999997_139;833,11676;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.30999997_139;860,01306;;802,6007;899,7324;848,584631;30,15614756;;;;;;;;;
0; 450_950_0.71_0.31999996_139;838,972;;;;;;;;;;;;;;
1; 450_950_0.71_0.31999996_139;880,8087;;;;;;;;;;;;;;
2; 450_950_0.71_0.31999996_139;861,93726;;;;;;;;;;;;;;
3; 450_950_0.71_0.31999996_139;807,88153;;;;;;;;;;;;;;
4; 450_950_0.71_0.31999996_139;876,7564;;;;;;;;;;;;;;
5; 450_950_0.71_0.31999996_139;820,57574;;;;;;;;;;;;;;
6; 450_950_0.71_0.31999996_139;872,9871;;;;;;;;;;;;;;
